"user_id","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14"
7,"6","0","","","0","1","2","10","0|1|3","1","0|1|3|4|6","0|8","0|1|3",""
48,"6","0","","0","0","1","2","7","0|1|2|3","7","2|3|4|5|6","0|1|2|3|5|6|8","0|1|2","<freeform-text removed>"
51,"4","1","0|3","1","0","2","2","7","0","7","1|2|3|4|5|6","0|1|3|5|8|10","",""
56,"5","0","","0","0","1","3","7","0","4","2|3|4|5|6","1|2|3|5|7|8|10","0|1|3|4|5",""
59,"6","0","","0","0","1","2","7","0","1","1|4|5|6","0|1|3|5|6|7|9|10","0|1",""
68,"6","0","","0","0","1","3","7","0|3","0","2|3|4|5","0|2|3|4","3",""
69,"6","0","","0","0","3","3","10","0|1|3","0","1|3|4|5|6","1|2|3|5|8|9","0|1|2|3|5","<freeform-text removed>"
71,"6","1","0","1","0","2","4","9","0|1|3","0","0|1|4|6","0|2|3","0|1|5",""
73,"3","1","3","1","0","1","2","8","0|2|3","0","2|3|4|5|6","0|1|3|7|8|9","0|1|3|4|5","<freeform-text removed>"
88,"6","0","","0","0","2","3","9","0|3","4","0|3|6","0|1|2|5|7|9","1","<freeform-text removed>"
94,"5","0","","","0","1","2","6","0|1|3","1","1|3|4|5|6","0|1|2|3","0|1|2",""
100,"5","1","1","1","0","2","5","8","0|1","3","1|4|5","0|1|3","0|1",""
123,"5","0","","0","0","1","3","8","0","","1|4|6","1|2","",""
126,"5","1","3","1","0","2","4","8","0|1","7","1|2|3|4|5|6","0|1|3|8","0|5",""
131,"6","1","3","1","0","2","1","10","0|1","7","0|1|4","0|8|9","0|1|3",""
133,"6","1","0","1","0","1","6","10","0|1|2|3","0","0|1|2|3|4|5|6","0|2|3|5|8|9|12","0|1|2|3|4|5","<freeform-text removed>"
136,"3","1","3","5","0","2","4","6","0|1|2|3","2","2|5|6","0|1|3|5|7|8","1",""
140,"5","1","0|2|3","1","0","2","5","8","0|1|3","4","0|1|4|5","0|5|6|7|8|9|10","0|1",""
